ID,Name,Subname,Generation,Sprite,Icon Locations,Tier,Type 1,Type 2,Ability 1,Ability 2,Hidden Ability,Special Ability,Egg Group 1,Egg Group 2,HP,ATK,DEF,SPA,SPD,SPE,BST,Size,Weight,Gender Ratio,Color,Link
1,Bulbasaur,None,1,https://play.pokemonshowdown.com/sprites/gen5/bulbasaur.png,-40px 0px;,LC,GRASS,POISON,Overgrow,None,Chlorophyll,None,Monster,Grass,45,49,49,65,65,45,318,0.7 m,6.9 kg,87.5% male  12.5% female,Green,https://dex.pokemonshowdown.com/pokemon/bulbasaur
2,Ivysaur,None,1,https://play.pokemonshowdown.com/sprites/gen5/ivysaur.png,-80px 0px;,NFE,GRASS,POISON,Overgrow,None,Chlorophyll,None,Monster,Grass,60,62,63,80,80,60,405,1 m,13 kg,87.5% male  12.5% female,Green,https://dex.pokemonshowdown.com/pokemon/ivysaur
3,Venusaur,None,1,https://play.pokemonshowdown.com/sprites/gen5/venusaur.png,-120px 0px;,UU,GRASS,POISON,Overgrow,None,Chlorophyll,None,Monster,Grass,80,82,83,100,100,80,525,2 m,100 kg,87.5% male  12.5% female,Green,https://dex.pokemonshowdown.com/pokemon/venusaur
3,Venusaur,Mega,1,https://play.pokemonshowdown.com/sprites/gen5/venusaur-mega.png,0px -2760px;,Illegal,GRASS,POISON,Thick Fat,None,None,None,Monster,Grass,80,100,123,122,120,80,625,2.4 m,155.5 kg,87.5% male  12.5% female,Green,https://dex.pokemonshowdown.com/pokemon/venusaurmega
4,Charmander,None,1,https://play.pokemonshowdown.com/sprites/gen5/charmander.png,-160px 0px;,LC,FIRE,None,Blaze,None,Solar Power,None,Monster,Dragon,39,52,43,60,50,65,309,0.6 m,8.5 kg,87.5% male  12.5% female,Red,https://dex.pokemonshowdown.com/pokemon/charmander
5,Charmeleon,None,1,https://play.pokemonshowdown.com/sprites/gen5/charmeleon.png,-200px 0px;,NFE,FIRE,None,Blaze,None,Solar Power,None,Monster,Dragon,58,64,58,80,65,80,405,1.1 m,19 kg,87.5% male  12.5% female,Red,https://dex.pokemonshowdown.com/pokemon/charmeleon
6,Charizard,None,1,https://play.pokemonshowdown.com/sprites/gen5/charizard.png,-240px 0px;,RU,FIRE,FLYING,Blaze,None,Solar Power,None,Monster,Dragon,78,84,78,109,85,100,534,1.7 m,90.5 kg,87.5% male  12.5% female,Red,https://dex.pokemonshowdown.com/pokemon/charizard
6,Charizard,Mega-X,1,https://play.pokemonshowdown.com/sprites/gen5/charizard-megax.png,-40px -2760px;,Illegal,FIRE,DRAGON,Tough Claws,None,None,None,Monster,Dragon,78,130,111,130,85,100,634,1.7 m,110.5 kg,87.5% male  12.5% female,Black,https://dex.pokemonshowdown.com/pokemon/charizardmegax
6,Charizard,Mega-Y,1,https://play.pokemonshowdown.com/sprites/gen5/charizard-megay.png,-80px -2760px;,Illegal,FIRE,FLYING,Drought,None,None,None,Monster,Dragon,78,104,78,159,115,100,634,1.7 m,100.5 kg,87.5% male  12.5% female,Red,https://dex.pokemonshowdown.com/pokemon/charizardmegay
6,Charizard,Gmax,1,https://play.pokemonshowdown.com/sprites/gen5/charizard-gmax.png,-80px -2880px;,(Uber),FIRE,FLYING,Blaze,None,Solar Power,None,Monster,Dragon,78,84,78,109,85,100,534,28 m,0 kg,87.5% male  12.5% female,Red,https://dex.pokemonshowdown.com/pokemon/charizardgmax
